,Actual pupil (z),Predicted pupil (z),Predicted pupil - luminance (z),Predicted pupil - contrast (z)
51,-1.7452247375099126,-0.9451589760741848,-0.7759010446442237,-1.2288790535174376
52,-1.7183601998742044,-0.9081050114844584,-0.7513109977512057,-1.1500424865825238
53,-1.681163147763224,-0.8678895132183063,-0.7258603540574254,-1.0579696696063092
54,-1.6687641303928973,-0.8272163415860456,-0.7008663950295142,-0.9609230073620422
55,-1.6129685522264265,-0.7870906962686448,-0.6764873031855244,-0.8637181977158028
56,-1.588170517485773,-0.7469437043250711,-0.6517221376728013,-0.7684243694599828
57,-1.5509734653747924,-0.7051366424185698,-0.6247607388955086,-0.6753564478692392
58,-1.5365079451094112,-0.6595959557025685,-0.593369824825876,-0.5846120291402442
59,-1.548906962479738,-0.6085937633461099,-0.5553864511009967,-0.4978609037937374
60,-1.5716384943253372,-0.5514216228141208,-0.5092674723936521,-0.41924025277844396
61,-1.5778380030105006,-0.4890276493084738,-0.45497650360599007,-0.35426855177473776
62,-1.5861040145907186,-0.4242654813328436,-0.39475799730384864,-0.30717241550920815
63,-1.588170517485773,-0.3614324993882018,-0.3331237938787356,-0.27836278847794754
64,-1.592303523275882,-0.30518974028805046,-0.27585012589285934,-0.2636425863398037
65,-1.592303523275882,-0.25919146946730665,-0.22826692078678995,-0.2555058493447402
66,-1.5737049972203916,-0.22536061006699926,-0.1940058415398241,-0.24565253652002828
67,-1.5633724827451194,-0.20413987616051796,-0.1748074959662013,-0.22741370611646117
68,-1.5468404595846836,-0.19485390514108716,-0.17061944823129252,-0.1972706060524739
69,-1.5034438987885397,-0.1954158951002085,-0.17920151081097155,-0.1552827286549902
70,-1.42491678877647,-0.20190348695669133,-0.19575606134303122,-0.10464956273719636
71,-1.3773872221902173,-0.20871504143504355,-0.2132560442787059,-0.05086321566973771
72,-1.3112591295484741,-0.20932128312408727,-0.22340851519589494,-0.0008629236416499664
73,-1.2492640426968402,-0.1976516622949721,-0.21829786981319638,0.03781966120148986
74,-1.1666039268946615,-0.16974421254288152,-0.1923784273125037,0.05827246692985048
75,-1.1128748516232452,-0.12476437659010507,-0.1438526279519013,0.05572856695748403
76,-1.0694782908271014,-0.06487052499363846,-0.07476224419170949,0.0288015868877002
77,-0.9950841866051405,0.005448158685505331,0.009641281415618796,-0.020106444503706654
78,-0.9496211229139423,0.07993067277840443,0.10157656631238449,-0.08524001312601115
79,-0.8917590418524172,0.1515520564905283,0.19199006211071126,-0.15844382190519152
80,-0.8111654289452929,0.21427640516939836,0.27266871431175943,-0.23042684150714865
81,-0.7636358623590401,0.2646324153280643,0.3382229582675485,-0.29234140511350887
82,-0.7305718160381687,0.30208080724543535,0.386805867884345,-0.33750185260042953
83,-0.6623772205013712,0.3276811159397664,0.4189330635498227,-0.36266748028203427
84,-0.6169141568101729,0.34092108265074794,0.4341390758914445,-0.3682678857155052
85,-0.546653058378321,0.33644552441000436,0.4273382233099135,-0.3576387151461709
86,-0.4949904860019593,0.3042711838394013,0.3889119710613714,-0.336274057508403
87,-0.43919490783548865,0.23467720531367856,0.3100110938619275,-0.31224058327584664
88,-0.4123303701997805,0.12585251630786953,0.19095480792169742,-0.2973931920799478
89,-0.4412614107305431,-0.009888510786280749,0.047851608889282485,-0.30728029157815506
90,-0.5590520757486478,-0.1488078279519265,-0.0908077683026216,-0.35840139243930097
91,-0.674776237871698,-0.26784459133172556,-0.19787737499994953,-0.46398676556993157
92,-0.7760348797293669,-0.35510053752988746,-0.25950017056362873,-0.630079110052434
93,-0.8938255447474717,-0.4113258750267236,-0.27731222438653913,-0.8522870888428417
94,-0.9785521634447049,-0.4449725478815382,-0.26352981448045554,-1.1138356776045635
