,Actual pupil (z),Predicted pupil (z),Predicted pupil - luminance (z),Predicted pupil - contrast (z)
130,0.044366769607256926,1.079660331287675,1.2793760599799149,-0.5032906295499429
131,0.15182492015008928,1.169252088141193,1.2905615290536925,-0.12972057075485885
132,0.23655153884732247,1.2385287407014183,1.2961640099158998,0.17281168913489212
133,0.3688077241308084,1.2882831116101303,1.2960147145178293,0.4087635897356331
134,0.4679998630934229,1.3208007922482456,1.2905407795562516,0.5869565368364595
135,0.5465269731054927,1.3393639471540784,1.2808091727834507,0.718073040308259
136,0.6477856149631617,1.347608321641591,1.2682918385519835,0.812688543563556
137,0.7159802104999591,1.3490214442008202,1.2546190367187267,0.8800226106308856
138,0.7883078118268655,1.3466133962610567,1.241348086038799,0.9274185270028512
139,0.8647684189438808,1.3426392603631416,1.2296507225546076,0.9603887881026347
140,0.9329630144806782,1.3386587123165377,1.2202889130353696,0.9829665298472959
141,0.9908250955422033,1.3359912086587422,1.214008595213629,0.9981040078989343
142,1.0672857026592186,1.3358481333604126,1.2116206162093142,1.0079446043237128
143,1.1540788242515063,1.3389130320543368,1.2135270556495241,1.0139301188709537
144,1.201608390837759,1.3450048188836203,1.219342310531814,1.0168773620319511
145,1.2553374661091752,1.3532334220587163,1.228008623737358,1.017214170956692
146,1.2946010211152101,1.3624276283403767,1.2381736606579912,1.0153488273934577
147,1.3462635934915719,1.3714790732623383,1.2485049757422595,1.0119129163941702
148,1.3400640848064085,1.3795045927411065,1.257878360453111,1.0077005878073386
149,1.3917266571827702,1.3859677556412944,1.2655686469380876,1.003409054237036
150,1.3751946340223344,1.3906969815715007,1.2713191164050228,0.9994167100522113
151,1.399992668762988,1.393754399227156,1.2752034535806063,0.9957570785382668
152,1.4371897208739686,1.3953899057805557,1.2775331520001614,0.9922989576857756
153,1.4516552411393497,1.3960710326213674,1.2788315319696142,0.9889967365310655
154,1.4516552411393497,1.3963186226752522,1.2796225154035767,0.9860324726408085
155,1.4991848077256025,1.3965115256519862,1.2802289256875539,0.9837747151897495
156,1.5177833337810926,1.3968373334126116,1.2807610293470335,0.9826035353947289
157,1.5446478714168008,1.3972919645010162,1.2811638215158518,0.9827112610807281
158,1.6190419756387617,1.397746600574344,1.2813148877841183,0.9840021990729979
159,1.6583055306447967,1.397979892309215,1.281050486091703,0.9861397847347562
160,1.6314409930090885,1.3977936523049836,1.2802656554456606,0.9886610949049343
161,1.6665715422250145,1.3971905665954258,1.2790949584532767,0.9910252849617875
162,1.6851700682805046,1.3962239034023034,1.2777629616420834,0.9925468817312201
163,1.6975690856508314,1.3946969938259046,1.2762802985767079,0.9922947459747927
164,1.6438400103794153,1.392083328612874,1.2743629434056385,0.9890553279664556
165,1.606642958268435,1.3876243375357102,1.2715185273200946,0.9814055813329952
166,1.598376946688217,1.380325421758917,1.2669934085479362,0.9679321351834685
167,1.4805862816701123,1.3688230667905084,1.2595522604665006,0.9475848828315171
168,1.4020591716580426,1.3515872325075984,1.2476173678674507,0.9200239718779204
169,1.3545296050717897,1.3275853481058122,1.2299455066613896,0.8857834758183721
170,1.2987340269053191,1.2968512380779014,1.2062503005812255,0.8462315004798158
171,1.2698029863745566,1.2605443398554474,1.1772998780992079,0.8034275113358865
172,1.2925345182201557,1.2205771048245395,1.1445685422245162,0.7599034029322491
173,1.2987340269053191,1.1791189315855517,1.1097837166204059,0.7183263508702202
174,1.3214655587509183,1.138257871364346,1.0746663835049464,0.6810504321216747
