,timeStamps,Actual pupil (z),Predicted pupil (z),Predicted pupil - luminance (z),Predicted pupil - contrast (z)
1179,47.19,1.3556448558299696,1.2080037117159876,1.20707575147839,0.5093903133193896
1180,47.23,1.338293611610304,1.221219769042478,1.2239764913603484,0.5006440160352491
1181,47.27,1.351504623887496,1.2324362496121373,1.2385061491851146,0.49250025038770234
1182,47.31,1.3640812701283018,1.2400105945568425,1.2484239100345114,0.48658979891700477
1183,47.35,1.3590506116319796,1.2434407110241246,1.2528321224297292,0.4842354113749675
1184,47.39,1.3565352823838184,1.2412047125107768,1.2502223585344172,0.4847477115475454
1185,47.43,1.366596599376463,1.2296953787492098,1.2377323381628318,0.4837293517128206
1186,47.47,1.3037133681724333,1.2072273975034034,1.2150202677426674,0.47526791580410604
1187,47.51,1.2634681002018544,1.1773240559407296,1.1866061930712135,0.4569757002543738
1188,47.55,1.1980695397496637,1.1462846724252773,1.158674816551368,0.4319344358385914
1189,47.59,1.1452476255382789,1.1192674019652755,1.1352765385241321,0.4065969288833522
1190,47.63,1.0471497848599924,1.0984262031434193,1.1171556975181665,0.3873279930235695
1191,47.67,0.8886840422258379,1.0827543893579648,1.102310251908592,0.3775635988272523
1192,47.71,0.8383774572626141,1.0693338578370164,1.0876446194114937,0.37676974698037285
1193,47.75,0.7427949458324892,1.0552441165590676,1.070802645440171,0.38153654539755083
1194,47.79,0.5994211786873016,1.0387529381647722,1.050954939385529,0.38763978589369474
1195,47.832,0.4459860945494693,1.0194186094288606,1.028488824959425,0.39168161088782655
1196,47.872,0.3101583151487653,0.9987701274558546,1.0054356286286923,0.392355450655907
1197,47.912,0.20451448672599554,0.9808025553457737,0.9860220894080653,0.39043619360638215
1198,47.952,0.13156993852932117,0.9692930966810077,0.9741159131677544,0.3871546245883837
1199,47.992,0.08629401206241985,0.9651759393709644,0.970363390015241,0.38401763078515855
1200,48.032,0.08880934131058103,0.9671955383268296,0.972879063650416,0.38294071708537997
1201,48.072,0.12749661434484885,0.9735820168796837,0.9792506176039332,0.385672590744823
1202,48.112,0.1978843303607675,0.9829152957743017,0.9876381804173372,0.39324555502528524
1203,48.152,0.25821274164744,0.9943361157553642,0.997087980674451,0.40566611546715564
1204,48.192,0.332796278382216,1.0072951033189546,1.007235023784674,0.4219896923688837
1205,48.232,0.40825615582705155,1.0213161005510325,1.0179317716145058,0.4407433598210929
1206,48.272,0.4736547162792423,1.0359706061196767,1.0291167229431015,0.46032540386058274
1207,48.312,0.5792985447020121,1.050776812080212,1.0406118498482468,0.47935679873654624
1208,48.352,0.6094824956799464,1.064808546657993,1.0515730717077958,0.49713161198613265
1209,48.392,0.6648197391394924,1.0766800514074004,1.0604515587814258,0.5137016018360449
1210,48.432,0.727702970343522,1.0852842364920703,1.0659401808970648,0.5293784782845581
1211,48.472,0.7880708722993904,1.090040499049401,1.0673770811992802,0.5442340392792941
1212,48.512,0.7780095553067458,1.0902467073699893,1.0641893057624299,0.5574736754442732
1213,48.552,0.823285481773647,1.084747729190605,1.0556147206599291,0.567090675266385
1214,48.592,0.8283161402699695,1.0724635243589296,1.0411652244762712,0.570338780103649
1215,48.632,0.8182548232773247,1.0529980286162248,1.0210380569470479,0.5647528226274217
1216,48.672,0.7805248845549069,1.027215277491474,0.9964728791533463,0.5492388494590014
1217,48.712,0.7905862015475517,0.9977267365527518,0.9700138132683852,0.5251512750279206
1218,48.752,0.7880708722993904,0.9682339992027048,0.9447280744888098,0.4964984816225862
1219,48.792,0.7931015307957129,0.9422906986801991,0.9231166721742023,0.468847800545817
1220,48.832,0.80819350628468,0.9225840210005509,0.9067795738285783,0.4475378501884509
1221,48.872,0.8459234450070977,0.9105864667798076,0.8964892276574303,0.43589820506785193
1222,48.912,0.8660460789923872,0.9064341439625713,0.8922394687651266,0.4345372286159408
1223,48.952,0.740279616584328,0.9092529251721466,0.8935036767368948,0.4417421673798805
1224,48.992,0.7201569825990385,0.917684632516353,0.8995957012257917,0.4543399236792562
1225,49.032,0.7427949458324892,0.9301024031984061,0.9096267767045206,0.46878884931788106
1226,49.072,0.7377642873361667,0.944754738893866,0.9223804319040497,0.4822821042689863
1227,49.112,0.7327336288398444,0.9567521133301745,0.9331449888667819,0.49208318570838716
1228,49.152,0.7151263241027161,0.9295744032035269,0.9070504652067002,0.47650595270461493
1229,49.192,0.6270898004170746,0.7993662006007298,0.7891039690813612,0.37446754231774443
1230,49.232,0.3504035831193443,0.5463359663936264,0.5735182013620586,0.12340812020651647
1231,49.272,0.0007728176249395559,0.21810629503289106,0.3146416395836258,-0.2827986059547809
1232,49.312,-0.3136433383952086,-0.11591252634563437,0.07473092987293739,-0.7873666331768772
1233,49.352,-0.5727222509558106,-0.40298943594441905,-0.11024606019039718,-1.3032520149272646
1234,49.392,-0.7764639200568666,-0.6169958613145834,-0.2322384030241439,-1.7494552107550618
1235,49.432,-0.9022303824649259,-0.7545714493927922,-0.30147288138935135,-2.0719126394472998
1236,49.472,-0.9676289429171167,-0.8274392310038735,-0.33678178213113313,-2.2479810241020473
1237,49.512,-1.027996844872985,-0.8519021596386396,-0.3552193711654963,-2.2815747582561006
1238,49.552,-1.055665466602758,-0.841419536928465,-0.3663896230689442,-2.1932705037815556
1239,49.592,-1.0456041496101134,-0.8058378132619355,-0.37389895197463696,-2.0113740919567844
1240,49.632,-1.010389540135857,-0.7532604623635469,-0.379019361092018,-1.7657536537580703
1241,49.672,-0.9720267445746016,-0.691724257726306,-0.3834517264466189,-1.4843288120905505
1242,49.712,-0.8944851806439882,-0.6355942376334445,-0.39580710149534204,-1.1954136619924276
1243,49.752,-0.7779414244572362,-0.6058380141163926,-0.4306770034421284,-0.9324977830507071
1244,49.792,-0.6808814086267416,-0.6136149721643567,-0.4925667257765105,-0.7260413957715623
1245,49.832,-0.5928448849411001,-0.6510911176759079,-0.5696733398194097,-0.5881458914715724
1246,49.872,-0.4947470442628139,-0.7005565425581487,-0.6448110271891487,-0.5093649933900708
1247,49.912,-0.4394098008032678,-0.7459346882046675,-0.7058956343098653,-0.4674949457855915
1248,49.952,-0.4041951913290112,-0.7777093428548159,-0.7485154206311914,-0.43876904203452993
1249,49.992,-0.33376597238049804,-0.7928393106208182,-0.773962527576015,-0.4051201895395455
1250,50.032,-0.3010666921544026,-0.7927326976778531,-0.7864270184422812,-0.3563565628445423
1251,50.072,-0.26333675343198487,-0.7809460709910238,-0.7906834207246168,-0.28924713047346107
1252,50.112,-0.23566813170221185,-0.7628787910170259,-0.7920984686685917,-0.20617905952950025
1253,50.152,-0.21806082696508355,-0.7498051802822624,-0.8006511923255166,-0.11689280814971485
1254,50.192,-0.2309390611827438,-0.7560890846130597,-0.8276065952224568,-0.039412035911809265
1255,50.232,-0.2589678780608535,-0.786233971304031,-0.8736383762510778,0.009535476345394176
1256,50.272,-0.30417739983560343,-0.831506238865861,-0.9280173395717093,0.025872634059604594
1257,50.312,-0.3237046553878533,-0.8787054017710497,-0.9784226208879074,0.018535461244984175
1258,50.352,-0.36143459411027107,-0.9177766222094619,-1.0176040362206802,0.0026033057759250722
1259,50.392,-0.3991645328326889,-0.9440918156957844,-1.0441455184830877,-0.00753795203179842
1260,50.432,-0.44695578854775136,-0.9572995266032447,-1.060209392539383,-0.0019990656090282037
1261,50.472,-0.5349923122333928,-0.9591066001011905,-1.0687908169811355,0.02349813025152596
1262,50.512,-0.5802682387002942,-0.9502861603186479,-1.0702507072059184,0.06703242236307022
1263,50.552,-0.6959733841157087,-0.9283454733701294,-1.0592131399403175,0.11847379844690537
1264,50.592,-0.7513106275752548,-0.8916652263515076,-1.0294995187986484,0.16083088348209476
1265,50.632,-0.7840099078013502,-0.8456314903301201,-0.9833773210617008,0.17976248715883195
1266,50.672,-0.7613719445678995,-0.8002214197731122,-0.9311949566465244,0.1725299420621413
1267,50.712,-0.7110653596046758,-0.7630766070413117,-0.8836410577194781,0.14774241923481402
1268,50.752,-0.6532127868969686,-0.7373580485629929,-0.84767450280939,0.1187949957843476
1269,50.792,-0.5752375802039719,-0.7308058720294133,-0.8336084330291194,0.09241850878830013
1270,50.834,-0.49223171501465274,-0.75887391930883,-0.8560009765559803,0.05867108266087051
1271,50.874,-0.40671052057717244,-0.8271622067975873,-0.9165516108899299,9.153962960022815e-05
1272,50.914,-0.29855136290624146,-0.9216492969483844,-0.9982628964555438,-0.08898272992515546
1273,50.954,-0.22812214395772829,-1.0201967041439792,-1.0796343013826462,-0.19680991617428548
1274,50.994,-0.16020825425737628,-1.105424563478079,-1.1470068483469547,-0.3016928247762912
1275,51.034,-0.06462574282725125,-1.1684831088472798,-1.1961101539169343,-0.3821787585361859
1276,51.074,-0.006773170119543999,-1.2073455364385368,-1.2284373132911635,-0.4237778123156687
1277,51.114,0.05359473183632444,-1.2243527807718244,-1.2479412752200627,-0.4212228215185487
1278,51.154,0.08126335356609747,-1.2261487080819073,-1.2609358913808537,-0.3785745516206491
1279,51.194,0.15169257251461066,-1.2224500070185522,-1.2750376789137978,-0.30804056362583165
1280,51.234,0.13911592627380473,-1.2200046256625816,-1.2938408779870259,-0.22466835287625564
1281,51.274,0.15420790176277185,-1.2194368916178695,-1.3151511136714953,-0.1396431355720505
1282,51.314,0.15420790176277185,-1.2181543024472485,-1.3347508075042624,-0.05817736487400143
1283,51.354,0.1466619140182883,-1.213637050555699,-1.3496031491762606,0.018780378007888607
1284,51.394,0.15923856025909422,-1.2043260122024,-1.358103949059099,0.09170825021096021
1285,51.434,0.1466619140182883,-1.1867725530929654,-1.355755177734952,0.15798329946374273
1286,51.474,0.13660059702564356,-1.157038702339314,-1.3357983440063055,0.20832351005060012
1287,51.514,0.13911592627380473,-1.117890777614816,-1.298769687889999,0.232928009915316
1288,51.554,0.13408526777748236,-1.0779285186384684,-1.2539436764634442,0.23081095600495946
1289,51.594,0.13156993852932117,-1.0442995093748886,-1.2114613602036615,0.21058073994125595
1290,51.634,0.10641664604770933,-1.0192465708528198,-1.1771878553706723,0.18533639868593718
1291,51.674,0.08377868281425867,-1.001218468252518,-1.1525574103957155,0.16729760105343597
1292,51.714,-0.009288499367705184,-0.987205123841832,-1.136340482214172,0.1646250897920578
1293,51.754,-0.04450310884196178,-0.9743931029487617,-1.1262552335917682,0.18055704880858864
1294,51.794,-0.05959508433092889,-0.9610111964771053,-1.1200935885721444,0.21414202134963037
1295,51.834,-0.06462574282725125,-0.9465029433392922,-1.1163083796062871,0.2617735417340755
1296,51.874,-0.074687059819896,-0.9313856981456322,-1.1142278256456555,0.3186265278727054
1297,51.914,-0.07971771831621836,-0.9185560134545522,-1.1154922688309838,0.37861977534363705
1298,51.954,-0.0570797550827677,-0.9154273602795246,-1.1258508561995322,0.4321992016857426
1299,51.994,-0.03444179184931703,-0.9298935547932574,-1.1507843287647221,0.46670783693714357
1300,52.034,-0.024380474856672295,-0.9621389234202636,-1.188229853485624,0.47335969481044166
1301,52.074,-0.0017425116232216292,-1.0041822659252313,-1.229664553118867,0.4533972675963391
1302,52.114,0.003288146873100741,-1.0462147989329913,-1.2667920632994107,0.4167888569729106
1303,52.154,0.030956768602873778,-1.081272786996725,-1.2953113153516675,0.3767692917250761
1304,52.194,0.048564073340002074,-1.1063830601053046,-1.3148951229116739,0.34483788638222973
1305,52.234,0.05107940258816326,-1.12175867557147,-1.3276036464327792,0.3280638337782153
1306,52.274,0.05359473183632444,-1.1293939398922208,-1.3361977435290355,0.32858286206282816
1307,52.314,0.061140719580807995,-1.1317697409687046,-1.3429697811817063,0.34462560962284244
1308,52.354,0.05862539033264681,-1.1308006761948781,-1.3490560219018908,0.3723740132721567
1309,52.394,0.01838012236206785,-1.127510101288758,-1.3545426053075647,0.4077674347872818
1310,52.434,-0.9500216381799884,-1.1224897471824262,-1.359201332283165,0.44738049733116053
1311,52.474,-0.9606084074525743,-1.1161720303401326,-1.3628179723988032,0.4885260837919931
1312,52.514,-0.8683929157540373,-1.1088278473383515,-1.365151103423766,0.5291052908451326
1313,52.554,-0.748921567855351,-1.100723722844873,-1.3660706043787192,0.5674693340338915
1314,52.594,-0.6325714920207081,-1.0922558614524127,-1.365712824735279,0.6024452597534473
1315,52.634,-0.55008428772236,-1.0834254317164917,-1.3638540462869195,0.6331610358982603
1316,52.674,-0.6154828481745508,-1.0704848359635453,-1.355390236340748,0.6559289617013373
1317,52.714,-0.6984887133638699,-1.0454787129575192,-1.3284234595735052,0.6588006219528322
1318,52.754,-0.8141938587792844,-1.0042168959747297,-1.2736911465553378,0.6238724839602757
1319,52.794,-0.8594697852461858,-0.9522526935300551,-1.1942371372185432,0.5390939836668863
1320,52.834,-0.8971997239686035,-0.9008437702481562,-1.1033528425697605,0.4076332416080832
1321,52.874,-0.9399603211873436,-0.858820768781284,-1.0154016949355356,0.2472350299522218
1322,52.914,-0.9550522966763108,-0.8287504416926986,-0.9395868164840628,0.08254372201898913
1323,52.954,-0.957567625924472,-0.8084750786095946,-0.879622269357176,-0.06278134124665655
1324,52.994,-0.9349296626910213,-0.7941237055815821,-0.8357606691255878,-0.171138509331204
1325,53.034,-0.8871384069759588,-0.7821412458169891,-0.8064218108781424,-0.23338569824232847
1326,53.074,-0.8192245172756067,-0.7699808124514679,-0.7889896068709127,-0.24872470661056692
1327,53.114,-0.7563412860715771,-0.7559997939913409,-0.7802500266857861,-0.2225577624859773
1328,53.154,-0.6783660793785804,-0.7393482609082925,-0.7769987795068768,-0.1636532646168284
1329,53.194,-0.5676915924594883,-0.7199798595997916,-0.7766580928095429,-0.08180225318511744
1330,53.234,-0.5601456047150047,-0.6984997476904002,-0.7775020899448077,0.013708027848357066
1331,53.274,-0.4846857272701692,-0.6758441138913305,-0.7785089714276873,0.11489746144159184
1332,53.314,-0.4545017762922349,-0.6529850271773493,-0.7791035534564967,0.21536270189451312
1333,53.354,-0.374011240351077,-0.6308694164880805,-0.779109323045723,0.3103533976899762
1334,53.394,-0.33879663087682044,-0.6110006146317347,-0.7793364987362629,0.39655395339306343
1335,53.434,-0.3086126798988862,-0.6002716005990218,-0.7860164605741179,0.4685142527100264
1336,53.474,-0.3136433383952086,-0.611070922502241,-0.809769596269654,0.5141947211831946
1337,53.514,-0.3086126798988862,-0.6487394068037562,-0.8532815507600799,0.5210690547571805
1338,53.554,-0.35137327711762634,-0.7051857914852174,-0.907149175514636,0.48744090184399624
1339,53.594,-0.4041951913290112,-0.7665073182803255,-0.9588554213488241,0.42450166009717905
1340,53.634,-0.46456309328487966,-0.8213593748825289,-1.0005312341759705,0.3504707816430549
1341,53.674,-0.4972623735109751,-0.863618534797493,-1.0300123201126363,0.2832556757318557
1342,53.714,-0.5425382999778764,-0.8913614962110645,-1.048420806039504,0.2354641135304468
1343,53.754,-0.5626609339631659,-0.9047018369504543,-1.057207208445275,0.21222981092885052
1344,53.796,-0.6406361406561626,-0.9051645020998026,-1.0575848465990174,0.21170657200848422
1345,53.836,-0.8116785295311232,-0.8964367759336914,-1.052203344458928,0.22832909636088886
1346,53.876,-0.7664026030642219,-0.8831066940623541,-1.044675109807045,0.2563953421540785
1347,53.916,-0.7462799690789325,-0.8685001634622634,-1.037640726014914,0.2918567903242905
1348,53.956,-0.7261573350936429,-0.8541034979875936,-1.0321011124252495,0.33220998385331085
1349,53.996,-0.7311879935899653,-0.8405943283119346,-1.0283035419796875,0.375503356909342
1350,54.036,-0.7286726643418041,-0.8321021173728117,-1.0297391850912907,0.41753420737207003
1351,54.076,-0.7085500303565146,-0.8343614912084937,-1.040714390481993,0.4503661818886525
1352,54.116,-0.7085500303565146,-0.8463486076974629,-1.058051727353792,0.4660817883875962
1353,54.156,-0.6909427256193863,-0.8618902119060357,-1.0739568921343638,0.460983451330159
1354,54.196,-0.6557281161451297,-0.8760763442079694,-1.0837998792536807,0.43821193719309975
1355,54.236,-0.6356054821598403,-0.886702036205553,-1.087292754583106,0.40611988820595496
1356,54.276,-0.5148696782481034,-0.8930106372873879,-1.0860950452449198,0.3743879500805859
1357,54.316,-0.5048083612554587,-0.8946883130803563,-1.0818357356311163,0.3506768698795802
1358,54.356,-0.5048083612554587,-0.891826407768019,-1.0756983453712545,0.33918109926274453
1359,54.396,-0.5048083612554587,-0.8850801722448381,-1.068686464730455,0.3409762633415612
1360,54.436,-0.49223171501465274,-0.8753327933291613,-1.061489554792281,0.35494179062092696
1361,54.476,-0.4897163857664915,-0.8634370571728522,-1.0543791658251407,0.37846805288069635
1362,54.516,-0.48217039802200795,-0.851271372069695,-1.048480084078753,0.407847913364513
1363,54.556,-0.46959375178120205,-0.8415346544215911,-1.0456754334357883,0.43878974655133773
1364,54.596,-0.4595324347885573,-0.8353335529692665,-1.0462555016404915,0.4676664100583167
1365,54.636,-0.46456309328487966,-0.8318648572710784,-1.0488672415142621,0.49268333195788633
1366,54.676,-0.4117411790734948,-0.8299262899215962,-1.0522122169404993,0.5139712480618651
1367,54.716,-0.4494711177959126,-0.8285519536726162,-1.0555567534549375,0.5328345552371577
1368,54.756,-0.4494711177959126,-0.8269372990242744,-1.0584288786549219,0.550899014209611
1369,54.796,-0.46959375178120205,-0.8244723848658132,-1.0604836506388409,0.569447006352689
1370,54.836,-0.5073236905036198,-0.8208610422211853,-1.0615504469090709,0.5890890904504065
1371,54.876,-0.5299616537370705,-0.8159111073249897,-1.0613731038305345,0.6096576960891397
1372,54.916,-0.5802682387002942,-0.8077411523887087,-1.0572528653143236,0.6287730468749215
1373,54.956,-0.6381208114080015,-0.7935921920694137,-1.0445166161398536,0.6401721757103724
1374,54.996,-0.685912067123064,-0.7743672726797443,-1.0224623683324126,0.6372567060975238
1375,55.036,-0.713580688852837,-0.7546951494949402,-0.9958969387548138,0.6187786402690302
1376,55.076,-0.7487952983270936,-0.738726995677351,-0.9706790870637702,0.5896175794321139
1377,55.116,-0.7638872738160607,-0.7278403683629501,-0.9503901699861677,0.5577375054403036
1378,55.156,-0.781494578553189,-0.7211578439695867,-0.9360221516905836,0.53075056150194
1379,55.196,-0.8091632002829621,-0.7168499414171049,-0.9268620908871277,0.5137498767694888
1380,55.236,-0.8418624805090574,-0.7124628941234907,-0.9205679659780619,0.508195913943064
1381,55.276,-0.8393471512608962,-0.7021091029091766,-0.9096241849134922,0.5102445805499659
1382,55.316,-0.8519237975017022,-0.6514859786897826,-0.8474690929810772,0.48674876052813987
1383,55.356,-0.8393471512608962,-0.5145419186426172,-0.660150303006436,0.34886160154619666
1384,55.396,-0.8468931390053798,-0.30388204554481046,-0.33832483792684725,0.00624601557616186
1385,55.436,-0.8167091880274456,-0.08806619921016742,0.044405791888139846,-0.5502653015744592
1386,55.476,-0.832030058477995,0.0731164005102322,0.4012995565900642,-1.2412513205863598
1387,55.516,-0.838328442915391,0.16236322435537176,0.681805847927689,-1.9451045816072043
1388,55.556,-0.8420757804293018,0.19685261336186163,0.8755885138001827,-2.5480007660220476
1389,55.596,-0.8438868174879772,0.20646226898949563,0.9960567369308778,-2.973606690835492
1390,55.636,-0.8443768036255196,0.21811677821812256,1.0650455499356395,-3.1909245311644305
1391,55.676,-0.7890405662976726,0.2493302320629147,1.1040686730697733,-3.2081215550932005
1392,55.716,-0.7010040426120311,0.30627967992335947,1.1288225727405172,-3.059503671694882
1393,55.756,-0.605421531181906,0.3849842748058115,1.1467115487989323,-2.7908605131409754
