,timeStamps,Predicted pupil (z),Predicted pupil - luminance (z),Predicted pupil - contrast (z)
122,4.88,-0.6602226214356898,-0.6444567605458923,-0.3297927562673305
123,4.92,-0.38760065224612783,-0.30345777220890824,-0.4432370650417332
124,4.96,-0.20673973251548927,-0.07100493701262846,-0.539263217389283
125,5.0,-0.11357841512788157,0.05424813678875365,-0.6071155507702576
126,5.04,-0.07674909946571272,0.11011488154652457,-0.6551083259573097
127,5.08,-0.06715630619159936,0.13090635522007774,-0.6884090664441487
128,5.12,-0.06780422918724055,0.13688136093325087,-0.7107575705161403
129,5.16,-0.070462381679325,0.13758500034399263,-0.723079751712976
130,5.2,-0.07233291357945051,0.13682966909251656,-0.7275825587071781
131,5.24,-0.07286480916696977,0.13598083986387807,-0.7267494661901598
132,5.28,-0.07096558131252315,0.1357370028077114,-0.7188083950188946
133,5.32,-0.06634357633125192,0.13678016086949776,-0.7049380385319921
134,5.36,-0.0590803601058912,0.13953038371594065,-0.6868447662746496
135,5.4,-0.0490865234609852,0.14371401778735787,-0.6632808245366555
136,5.44,-0.03735686352361256,0.1485400729676991,-0.6353433040308175
137,5.48,-0.025052908890114273,0.15315563882813657,-0.604548679668971
138,5.520000000000001,-0.013082654871363852,0.15678350571583546,-0.5717141879400238
139,5.5600000000000005,-0.0019836288877869094,0.1588452143449805,-0.5369291071585356
140,5.6000000000000005,0.00817860065610885,0.15907946881743684,-0.4995685457510615
141,5.64,0.01726344114058566,0.15768781264531914,-0.4608319949736985
142,5.68,0.026158730434228745,0.15558589114517968,-0.4204393265130701
143,5.72,0.035886990004017565,0.15401646734411206,-0.3786953029221482
144,5.76,0.04668313562689633,0.15361828487412627,-0.3368473715015236
145,5.8,0.05831100706119628,0.15416670847834454,-0.2950331169909205
146,5.84,0.07041354510766396,0.15518996590607242,-0.25302009842036083
147,5.88,0.0826588243428183,0.15641315710932874,-0.2111377820982043
148,5.92,0.09484708640539867,0.1576992319912466,-0.1696790778624822
149,5.96,0.10701296897276756,0.1589647272915021,-0.1282357709092188
150,6.0,0.11923252164095989,0.1601905524051434,-0.08645879258051184
151,6.04,0.13130022708072905,0.1613325684194768,-0.044972371520478234
152,6.08,0.1429925064256261,0.16226683558014873,-0.004202523070620516
153,6.12,0.15439199664651884,0.1629732186228496,0.03622802770342445
154,6.16,0.1654207841814967,0.1636200206074933,0.07546584135999393
155,6.2,0.17588263585958858,0.1643016842755768,0.11245959619446207
156,6.24,0.18578327280144186,0.16491974479928706,0.14755898110777657
157,6.28,0.19529171543644536,0.1655672552661363,0.18108819542764512
158,6.32,0.20464493059657876,0.16673216245134104,0.21231014616946312
159,6.36,0.21433887772824836,0.16896820850402722,0.24124048701652456
160,6.4,0.22499900602001938,0.17258872696348582,0.2691822413350681
161,6.44,0.23655149085942043,0.17755502199612602,0.29598731285329233
