,pupil,movie,l1,l2,l3,subject,condition,effort,luminance,pupil_pred_mixed,pupil_pred_pp,pupil_pred_mov
12,3.8021807825783274,1-2,55.41833750372942,48.64522413686117,141.25915477096194,s11,2back,2,55.41833750372942,3.600922711212597,3.5151082763113095,4.0824807185973
13,3.8419712405785638,1-3,36.828353537551436,39.6695070350647,108.07875929327417,s11,0back,0,36.828353537551436,3.92997046703762,3.5151082763113095,4.609761548861282
14,3.535544629206116,2-1,74.01818114056069,53.20677639770508,139.8051980036651,s11,1back,1,74.01818114056069,3.2717004365441182,3.5151082763113095,3.9491905227873
15,3.3729423980639903,2-2,64.57727469534466,51.065085013071695,133.38560964628346,s11,2back,2,64.57727469534466,3.4388070399927395,3.5151082763113095,3.979204920420492
16,3.3638611331770196,3-1,50.6300187818287,44.845075542958575,124.98794760054977,s11,1back,1,50.6300187818287,3.685677250672284,3.5151082763113095,4.223932872369904
17,3.1741494742638396,3-2,68.74304729456018,51.68995800425212,147.39625203742287,s11,0back,0,68.74304729456018,3.3650717356727835,3.5151082763113095,3.952533694160394
18,3.4786111965594078,1-2,55.41833750372942,48.64522413686117,141.25915477096194,s12,0back,0,55.41833750372942,3.9693408134419745,3.9046030753332572,4.0824807185973
19,4.7948387930708805,1-3,36.828353537551436,39.6695070350647,108.07875929327417,s12,2back,2,36.828353537551436,4.298388569266997,3.9046030753332572,4.609761548861282
20,3.718648434680135,2-1,74.01818114056069,53.20677639770508,139.8051980036651,s12,1back,1,74.01818114056069,3.640118538773496,3.9046030753332572,3.9491905227873
21,3.4620406388029514,2-2,64.57727469534466,51.065085013071695,133.38560964628346,s12,0back,0,64.57727469534466,3.807225142222117,3.9046030753332572,3.979204920420492
22,4.373900679301876,3-1,50.6300187818287,44.845075542958575,124.98794760054977,s12,2back,2,50.6300187818287,4.054095352901662,3.9046030753332572,4.223932872369904
23,3.599578709584292,3-2,68.74304729456018,51.68995800425212,147.39625203742287,s12,1back,1,68.74304729456018,3.733489837902161,3.9046030753332572,3.952533694160394
24,3.9508795443595477,1-2,55.41833750372942,48.64522413686117,141.25915477096194,s13,0back,0,55.41833750372942,4.354801878870757,4.312115842218135,4.0824807185973
25,5.0708319898083225,1-3,36.828353537551436,39.6695070350647,108.07875929327417,s13,2back,2,36.828353537551436,4.68384963469578,4.312115842218135,4.609761548861282
26,3.7766242006795685,2-1,74.01818114056069,53.20677639770508,139.8051980036651,s13,1back,1,74.01818114056069,4.025579604202278,4.312115842218135,3.9491905227873
27,4.286845585985732,2-2,64.57727469534466,51.065085013071695,133.38560964628346,s13,1back,1,64.57727469534466,4.192686207650899,4.312115842218135,3.979204920420492
28,4.513504454360774,3-1,50.6300187818287,44.845075542958575,124.98794760054977,s13,0back,0,50.6300187818287,4.439556418330444,4.312115842218135,4.223932872369904
29,4.27400927811486,3-2,68.74304729456018,51.68995800425212,147.39625203742287,s13,2back,2,68.74304729456018,4.118950903330943,4.312115842218135,3.952533694160394
30,4.82024763539942,1-2,55.41833750372942,48.64522413686117,141.25915477096194,s14,0back,0,55.41833750372942,4.809046950722097,4.8361779905472115,4.0824807185973
31,5.287361432453665,1-3,36.828353537551436,39.6695070350647,108.07875929327417,s14,1back,1,36.828353537551436,5.13809470654712,4.8361779905472115,4.609761548861282
32,4.8701217659914215,2-1,74.01818114056069,53.20677639770508,139.8051980036651,s14,2back,2,74.01818114056069,4.479824676053618,4.8361779905472115,3.9491905227873
33,4.240216494316035,2-2,64.57727469534466,51.065085013071695,133.38560964628346,s14,0back,0,64.57727469534466,4.6469312795022395,4.8361779905472115,3.979204920420492
34,4.962942624575517,3-1,50.6300187818287,44.845075542958575,124.98794760054977,s14,1back,1,50.6300187818287,4.893801490181784,4.8361779905472115,4.223932872369904
35,4.30829305357246,1-2,55.41833750372942,48.64522413686117,141.25915477096194,s15,0back,0,55.41833750372942,4.432784878523997,4.39456014284633,4.0824807185973
36,5.560928385327717,1-3,36.828353537551436,39.6695070350647,108.07875929327417,s15,2back,2,36.828353537551436,4.7618326343490205,4.39456014284633,4.609761548861282
37,3.717344915503799,2-1,74.01818114056069,53.20677639770508,139.8051980036651,s15,0back,0,74.01818114056069,4.103562603855519,4.39456014284633,3.9491905227873
38,4.049726748859924,2-2,64.57727469534466,51.065085013071695,133.38560964628346,s15,1back,1,64.57727469534466,4.27066920730414,4.39456014284633,3.979204920420492
39,4.232476814724854,3-1,50.6300187818287,44.845075542958575,124.98794760054977,s15,1back,1,50.6300187818287,4.517539417983684,4.39456014284633,4.223932872369904
40,4.4985909390892225,3-2,68.74304729456018,51.68995800425212,147.39625203742287,s15,2back,2,68.74304729456018,4.196933902984184,4.39456014284633,3.952533694160394
41,3.4032909822315944,1-2,55.41833750372942,48.64522413686117,141.25915477096194,s16,2back,2,55.41833750372942,3.6238264115228986,3.5393222660562134,4.0824807185973
42,4.221936119468574,1-3,36.828353537551436,39.6695070350647,108.07875929327417,s16,1back,1,36.828353537551436,3.9528741673479217,3.5393222660562134,4.609761548861282
43,3.345911802140503,2-1,74.01818114056069,53.20677639770508,139.8051980036651,s16,0back,0,74.01818114056069,3.29460413685442,3.5393222660562134,3.9491905227873
44,3.3666563408334538,2-2,64.57727469534466,51.065085013071695,133.38560964628346,s16,1back,1,64.57727469534466,3.461710740303041,3.5393222660562134,3.979204920420492
45,3.745471829640755,3-1,50.6300187818287,44.845075542958575,124.98794760054977,s16,2back,2,50.6300187818287,3.7085809509825856,3.5393222660562134,4.223932872369904
46,3.1526665220224,3-2,68.74304729456018,51.68995800425212,147.39625203742287,s16,0back,0,68.74304729456018,3.387975435983085,3.5393222660562134,3.952533694160394
47,3.858067151887527,1-2,55.41833750372942,48.64522413686117,141.25915477096194,s17,2back,2,55.41833750372942,3.8212839160942997,3.7480760449639887,4.0824807185973
48,3.787422217016284,1-3,36.828353537551436,39.6695070350647,108.07875929327417,s17,1back,1,36.828353537551436,4.150331671919322,3.7480760449639887,4.609761548861282
49,3.689547497795286,2-1,74.01818114056069,53.20677639770508,139.8051980036651,s17,0back,0,74.01818114056069,3.492061641425821,3.7480760449639887,3.9491905227873
