,timeStamps,Predicted pupil (z),Predicted pupil - luminance (z),Predicted pupil - contrast (z)
897,35.88,0.5520789101111625,0.49808088071955836,0.4123391460102955
898,35.92,0.5752336760474263,0.534138961540079,0.37907291827166695
899,35.96,0.6028098261505319,0.5740670861092114,0.3495052579252875
900,36.0,0.6351526640868037,0.6180688650363594,0.32425379827625317
901,36.04,0.669926834236418,0.6636418700994562,0.30289259960395726
902,36.08,0.7034347468617024,0.706238752261018,0.2866980401286116
903,36.12,0.7326513391149467,0.7424473596598943,0.2756873007506898
904,36.16000000000001,0.7559136187564953,0.7716344465841289,0.26572801280386826
905,36.2,0.7740326349615281,0.7947590943961079,0.2566680705653813
906,36.24,0.7897926448353477,0.8138252660321134,0.2522802258711897
907,36.28,0.8053869037138438,0.8313015844718928,0.2525696312145804
908,36.32,0.8210550706872145,0.8479732110923557,0.2558188076028365
909,36.36,0.8358445285154315,0.8626342203311677,0.2624712014413722
910,36.4,0.8486567158141799,0.8741289004701199,0.2722549777073173
911,36.44,0.8593317299717266,0.8820200195163862,0.2860272716994713
912,36.480000000000004,0.8667873472756319,0.8863063385622577,0.2997293404065716
913,36.52,0.8715681850244965,0.8876689201723984,0.31313557172590045
914,36.56,0.8747066137458068,0.8866696100007393,0.32824886122010327
915,36.6,0.8753965027338867,0.883353913758298,0.34189115589961633
916,36.64,0.8741781337467445,0.878238186840348,0.3543695911195
917,36.68,0.8720896037447504,0.8717821230363506,0.36804906677047583
918,36.72,0.8683609815512571,0.8638834322585189,0.3803800824109481
919,36.76,0.8633687255606881,0.8549475352518031,0.3914245316417056
920,36.800000000000004,0.8582504636025623,0.8454128868300442,0.40399176866488645
921,36.84,0.8523459160954184,0.8350345842595668,0.41641932137281357
922,36.88,0.8461598729335533,0.824167861688311,0.42941815276928286
923,36.92,0.8407726024421504,0.8138062610933158,0.443731988073834
924,36.96,0.8357910594969391,0.804459722111625,0.45618546268831317
925,37.0,0.8315155575097298,0.796139505867926,0.46786847293384837
926,37.04,0.8278788993239301,0.7881212002393959,0.48094345503886854
927,37.08,0.8234683102480737,0.7794316626725518,0.4933503938560181
928,37.12,0.818698671970896,0.7702585201697447,0.506021410449246
929,37.16000000000001,0.8146093062787179,0.7613586823310916,0.5203352835689236
930,37.2,0.8109649003611793,0.7531809785546565,0.5339125063818756
931,37.24,0.808447540518224,0.7462904828915793,0.5474301798205381
932,37.28,0.8071294304180292,0.7406539677265956,0.5612701288424318
933,37.32,0.8060725979497625,0.7353696150041407,0.5749170887513638
934,37.36,0.8048195130611351,0.7299413554625559,0.5883069693167572
935,37.4,0.8033118727919151,0.7245625082476839,0.6005764930351457
936,37.44,0.8020240803094904,0.7192826126402273,0.6133415282754708
937,37.480000000000004,0.8012179278463671,0.7137751407085899,0.6286733190798487
938,37.52,0.8000529476328079,0.7081639996874407,0.6430035662073496
939,37.56,0.7990792216701853,0.7032055790961108,0.6558760832351516
940,37.6,0.7991176738634931,0.6990466221732037,0.6698836297916413
941,37.64,0.799019726778933,0.6947963509552816,0.6836834886192189
942,37.68,0.7982956133873107,0.6899630776622167,0.6970759408344475
943,37.72,0.7976777771998418,0.6852678059722966,0.7104073724507044
944,37.76,0.7976967746957794,0.6812583943101644,0.7238433981875099
945,37.800000000000004,0.7978748667542088,0.6773356564282877,0.7375877824309193
946,37.84,0.7977129449520443,0.6730690530851304,0.7512019084743361
947,37.88,0.7970813199872777,0.6691093371523196,0.7620297218864219
948,37.92,0.7973460215099428,0.6659794738403497,0.7734563392224957
949,37.96,0.7982849503490724,0.6631581582213391,0.7863856412397614
950,38.0,0.7991474600815806,0.6601854567924625,0.7995326708292864
951,38.04,0.8003212262163394,0.6575587204955032,0.8126949987736857
952,38.08,0.8023395317328094,0.655595784259713,0.8268152205750771
953,38.12,0.8034995837276143,0.6536033419072431,0.8378117498934236
954,38.16000000000001,0.8041021233911864,0.6511525225841294,0.8482431956072918
955,38.2,0.804558085405197,0.6489101930719461,0.8574293950381189
956,38.24,0.8057263520699055,0.6474133613481706,0.866804728353507
957,38.28,0.8074669171504857,0.6461786071783963,0.8774549864232258
958,38.32,0.8087247539918165,0.644705425730313,0.8870877488868171
959,38.36,0.8102054219423476,0.6434754991355885,0.8967462120096453
960,38.4,0.8128137677643994,0.643349336608452,0.9069589777960669
961,38.44,0.8163003118421481,0.6441511909192794,0.9173752766354218
962,38.480000000000004,0.8198549913459121,0.6448285142589901,0.9284624720005258
963,38.52,0.8225384953422465,0.6448629366860231,0.9384221126216221
964,38.56,0.8246628958924258,0.6445358179785039,0.9474879101712855
965,38.6,0.8272117772703108,0.644459692395831,0.9573106453615884
966,38.64,0.8305181244572726,0.6450360379429771,0.9678021468369027
967,38.68,0.8341479739331229,0.6458666311334671,0.9786606450058378
968,38.72,0.8373657061905654,0.6461962246969333,0.9896419758713806
969,38.76,0.8394149317101411,0.6457934001621436,0.9986779048815528
970,38.800000000000004,0.8405457064945656,0.6450088804957321,1.005538113055827
971,38.84,0.8417100798589943,0.6442837338534091,1.0123265465800417
972,38.88,0.8428947532700753,0.643722652958134,1.0186443044991116
973,38.92,0.8439151979760323,0.6431790557827597,1.0242872377009502
974,38.96,0.8451617311052486,0.6426129353674432,1.0308540271133495
975,39.0,0.8465562398141615,0.6421379942539336,1.0376724138607174
976,39.04,0.8476896133248052,0.6418145852958005,1.0430053424509491
977,39.08,0.848763789183455,0.6416013912098714,1.0477486489409211
978,39.12,0.8499071940794212,0.6414574634137893,1.0525209667106308
979,39.16000000000001,0.8269514186285584,0.6414278574638237,0.9664393261692478
980,39.2,0.7943327242156106,0.6465546814510081,0.8268931586651146
981,39.24,0.8023118645010258,0.685057449935131,0.7285058002975944
982,39.28,0.8716806536122917,0.7879523166138585,0.6459464786255591
983,39.32,0.9834591451027497,0.9352203661388044,0.5746905992233835
984,39.36,1.0918049419615456,1.0738774163612266,0.5192510653029224
985,39.4,1.1694102872664254,1.1739977779060449,0.47686168537695783
986,39.44,1.215524671001915,1.235684109782394,0.44436270606335815
987,39.480000000000004,1.238170786142001,1.2697627099338038,0.41578517583489544
988,39.52,1.2468848876593543,1.2865762271719636,0.3924545052285037
989,39.56,1.2473578692124438,1.292551850333074,0.37431142365353387
990,39.6,1.2420965110589932,1.2908423019195188,0.3602577837744109
991,39.64,1.233316186608413,1.2838827708368028,0.35049322043396464
992,39.68,1.2230539540331966,1.2744204881190395,0.34350779888821426
993,39.72,1.2133913645263394,1.2645388893432965,0.34017127113907225
994,39.76,1.2052946750310967,1.2549577483525303,0.34171190254057016
995,39.800000000000004,1.1980899300543426,1.2460482142124982,0.34436237302540323
996,39.84,1.1923543888223516,1.2390915245706897,0.3460190308577096
997,39.88,1.1903313865889453,1.2359374590390844,0.3489378492497398
998,39.92,1.192836354124297,1.237820782000118,0.3520642284156942
999,39.96,1.1998422897052667,1.244573091635815,0.3558581381681765
1000,40.0,1.2110057146157933,1.2548135968693948,0.36363273130213697
1001,40.04,1.2238775843757976,1.2666534547635535,0.3724899743093947
1002,40.08,1.235597820804837,1.2778574186297262,0.3791434145243734
1003,40.12,1.2445333390166151,1.285763674173587,0.38633485642189996
1004,40.16000000000001,1.2484118679442233,1.2879581670798554,0.39358061194692284
1005,40.2,1.2460431102636245,1.2839452677800283,0.3980641781590063
1006,40.24,1.2390625658373058,1.275131990698262,0.4012354830950464
1007,40.28,1.229019776296572,1.2626678155564868,0.40508020032584763
1008,40.32,1.2167774862056255,1.247243304055426,0.4105353639449064
1009,40.36,1.2035431653442792,1.230375688636742,0.4170766026322068
1010,40.4,1.1898289350793083,1.2139770973453698,0.4202527568039104
1011,40.44,1.1761129447606755,1.198932209720551,0.4189099578457739
1012,40.480000000000004,1.1628718124123236,1.1840804788767634,0.4187060096716471
1013,40.52,1.1475058204632795,1.1670214764730964,0.4178825081433189
1014,40.56,1.1255791722514763,1.147731088275458,0.3998670135844848
1015,40.6,1.101827200592897,1.1324421540741723,0.3616607292474762
1016,40.64,1.0892669584484442,1.1331737596916287,0.3120685169344423
1017,40.68,1.102172835180797,1.1609493028811462,0.267934477569583
1018,40.72,1.1433711110738938,1.2168959651485658,0.23611173072544567
1019,40.76,1.201631190668635,1.2886785484152588,0.21555582179546087
1020,40.800000000000004,1.2590840490005548,1.3572400256171298,0.20270647163739064
1021,40.84,1.3030234692464038,1.4087245653963603,0.1960482412755823
1022,40.88,1.3300820529499477,1.439961020927686,0.1935097688053443
1023,40.92,1.3442955137930297,1.455071104455014,0.1965028466185972
1024,40.96,1.350463852989625,1.4600715593976532,0.20299177661350332
1025,41.0,1.3530419499811706,1.460182465056497,0.21230075527688025
1026,41.04,1.354192694920257,1.458962362009461,0.22068787979459645
1027,41.08,1.355557441750489,1.4575049637871116,0.23066939184432828
1028,41.12,1.3562572935500365,1.4546464609109782,0.24282511091656217
1029,41.16000000000001,1.3551025353023918,1.4492787932345708,0.25638215542352855
1030,41.2,1.3524566950416306,1.4420155856507295,0.2706598621189845
1031,41.24,1.3495514186585744,1.4343107969074436,0.28543553369292113
1032,41.28,1.347321974898025,1.42698561163963,0.301483063962472
1033,41.32,1.3459497554708342,1.4200555205516878,0.3194317960700124
1034,41.36,1.3452705468833686,1.413520501326131,0.3386653158630847
1035,41.4,1.3456557743146753,1.4078101337945876,0.35914609101013556
1036,41.44,1.2680350069879807,1.4034127336004945,0.08240103591075167
1037,41.480000000000004,1.1264534537817916,1.3839161733811798,-0.38413438505037356
1038,41.52,0.9281576455513804,1.255032039439914,-0.6989606108033214
1039,41.56,0.5569650920732714,0.9097468907031384,-0.9415372351281693
1040,41.6,0.06325466496224239,0.41112385488326747,-1.1329428619382695
1041,41.64,-0.3915511636032532,-0.055527089387196006,-1.2848668988686802
1042,41.68,-0.7087703361247927,-0.37644407349171605,-1.4060444482563175
1043,41.72,-0.8920462687725885,-0.5546377562949646,-1.5001180546286
1044,41.76,-0.9884848919014552,-0.6425913494874822,-1.5689882596869957
1045,41.800000000000004,-1.0401403871622217,-0.6867498543679942,-1.6157177520713768
1046,41.84,-1.0703779312521688,-0.7124255876671807,-1.6436494395078423
1047,41.88,-1.0884433972583472,-0.7295530981248551,-1.654378917532388
1048,41.92,-1.0982861776207655,-0.7414091989372743,-1.6518102424115413
1049,41.96,-1.0918148299861612,-0.7493451343040936,-1.601062460343113
1050,42.0,-1.0826251364533532,-0.7544160028543951,-1.549659715855968
1051,42.04,-1.0788432076127725,-0.7569258502713,-1.5270954809354458
1052,42.08,-1.0682959578221196,-0.7552791609505042,-1.4929880728134561
1053,42.12,-1.0510723654980247,-0.7482725749245647,-1.4516827332029432
1054,42.16000000000001,-1.0301794607252635,-0.7380218518230056,-1.4074158902361587
1055,42.2,-1.0085213391551198,-0.7282330788213404,-1.3587364448744668
1056,42.24,-0.9884019029351894,-0.7213219277403058,-1.3062414425533768
1057,42.28,-0.9708797721271332,-0.717974224053579,-1.2516190584905773
1058,42.32,-0.9591807926869583,-0.7174524631533707,-1.2094380778162988
1059,42.36,-0.952112857256763,-0.7165559673181695,-1.1858920295569946
1060,42.4,-0.9398162485827469,-0.7076555588775896,-1.1693962607299864
1061,42.44,-0.910241719538744,-0.6812590446237702,-1.1463562604804407
1062,42.480000000000004,-0.8609959535996976,-0.6350932006505514,-1.1153644784899635
1063,42.52,-0.8016272769821056,-0.5789237559501428,-1.079714709095083
1064,42.56,-0.744598186922951,-0.5270223735863,-1.0386213161170392
1065,42.6,-0.6983453774451389,-0.4878959294338388,-0.9954009932408368
1066,42.64,-0.6640728879599352,-0.4630339482702842,-0.9496088497739532
1067,42.68,-0.641817006647932,-0.45059976592965933,-0.9075033323030169
1068,42.72,-0.6274295895588607,-0.44561287146947987,-0.8701132262516766
1069,42.76,-0.6141978984144351,-0.440320443391903,-0.8380803795904661
1070,42.800000000000004,-0.5942409550206121,-0.42811585069652297,-0.8038402114829567
1071,42.84,-0.5648072490080831,-0.4067305091812058,-0.7646249784259093
1072,42.88,-0.5297091597572978,-0.3797036413561914,-0.7229496660076103
1073,42.92,-0.49575767947283145,-0.3549052072289316,-0.6781508283995987
1074,42.96,-0.4691257709128059,-0.3389179104068577,-0.6314605911061137
1075,43.0,-0.4501005516732306,-0.33238920847855974,-0.5817986559778525
1076,43.04,-0.43558930821320413,-0.3312249613810593,-0.53120152441148
1077,43.08,-0.4225313532613262,-0.33124734024926705,-0.48210489315629984
1078,43.12,-0.4102155472632357,-0.33063086415805676,-0.4379239461090376
1079,43.16000000000001,-0.39948798214879067,-0.3286062677193875,-0.4043992905170572
1080,43.2,-0.3878090578425977,-0.3231189301861817,-0.37884552272258587
1081,43.24,-0.3675027176559796,-0.3100637814164098,-0.3461288398215895
1082,43.28,-0.3398690704266248,-0.28676967761651473,-0.32003390917318747
1083,43.32,-0.3069516462336354,-0.25892790120872594,-0.2892615881690198
1084,43.36,-0.27817732103288784,-0.23850204471064312,-0.24932351212291912
1085,43.4,-0.25978699279873857,-0.2314758881983168,-0.20370325997366664
1086,43.44,-0.24988822780200268,-0.23417070757034225,-0.1575586908967645
1087,43.480000000000004,-0.2448434080171003,-0.24023095543951167,-0.1184186561059067
1088,43.52,-0.24082062339195226,-0.24553615069102205,-0.08563237685583056
1089,43.56,-0.23464004275357792,-0.24804066394343427,-0.054080929520758284
1090,43.6,-0.22481021303843027,-0.24674781686604924,-0.021487378039834915
1091,43.64,-0.2132333492156138,-0.24198449181512385,0.006096610318835185
1092,43.68,-0.1997228620642592,-0.23509970242651468,0.03386823893507984
1093,43.72,-0.18591741961007496,-0.22629744879066196,0.05635563810841869
1094,43.76,-0.17067029317493,-0.2158587511810173,0.07880057864063328
1095,43.800000000000004,-0.15669574551293725,-0.207854844128736,0.10458398605773789
1096,43.84,-0.14804767235050847,-0.20665949556160448,0.13306599474319963
1097,43.88,-0.14460495981664845,-0.2113566326068882,0.16164771285562388
1098,43.92,-0.14246095546771853,-0.21754154886959212,0.19031309862781387
1099,43.96,-0.13868096161638688,-0.22188684859712393,0.21898824360111904
1100,44.0,-0.13287202129486492,-0.22355807382902185,0.2463668560925519
1101,44.04,-0.1254916022023231,-0.22307787967328963,0.2724736994447621
1102,44.08,-0.11670608264666904,-0.22081280993092867,0.2979059706610457
1103,44.12,-0.1064149412615776,-0.21674673664677174,0.32298728613078465
1104,44.16000000000001,-0.09528381994898005,-0.21126085472680287,0.34648934982108914
1105,44.2,-0.08397919299648478,-0.20520840247370808,0.3687542187546567
1106,44.24,-0.04018220124390937,-0.19901863597624633,0.5125438624703627
1107,44.28,0.0024330859750572136,-0.19253692670249672,0.6509240210583899
1108,44.32,0.010572448308381707,-0.18599423683675456,0.6596717619866403
1109,44.36,0.017013360401227126,-0.1806450457741824,0.6660215285045953
1110,44.4,0.02038718329018785,-0.1784444257009969,0.6713520981196153
1111,44.44,0.019741500717266974,-0.18106535270434052,0.6776645068444059
1112,44.480000000000004,0.015162702863542182,-0.18864726715361707,0.6857478810055105
1113,44.52,0.00814333466671766,-0.19927661082696724,0.6948269894622165
1114,44.56,0.0009207836807134354,-0.21013544850103025,0.7039082912640523
1115,44.6,-0.004515684402553648,-0.21914192260881546,0.7135203412039332
1116,44.64,-0.007482362525283594,-0.2256049243316886,0.7239262089544836
1117,44.68,-0.0084557217833493,-0.22983087269150204,0.7343585285555616
1118,44.72,-0.007808804783220893,-0.23244178115714473,0.7454902056674981
1119,44.76,-0.006170777632753821,-0.23405271872321476,0.7570094615893596
1120,44.800000000000004,-0.003403124241531515,-0.2351957989152161,0.7712100237001841
1121,44.84,-0.0007159151377719821,-0.23619401061227716,0.7846256877429869
1122,44.88,0.001682785345678293,-0.23708387191865993,0.796597067835627
1123,44.92,-0.037915292377271446,-0.23766328267722156,0.6498697565312768
1124,44.96,-0.09609621377145391,-0.22899123956075873,0.40254075238857606
1125,45.0,-0.08042504401270952,-0.16115943670361332,0.2352672810126715
1126,45.04,0.047519860870103285,0.022131245644404832,0.10462773537517867
1127,45.08,0.25446832133012304,0.2865142520517296,0.0002747475022677458
1128,45.12,0.4513248070790486,0.5321693385823262,-0.07953902446462598
1129,45.16000000000001,0.5814909660197697,0.6967631493013297,-0.13951665640976812
1130,45.2,0.6431291552278687,0.7802991250188711,-0.1865684771419914
1131,45.24,0.6597657376547439,0.8103986186417559,-0.22444324247512898
1132,45.28,0.6551377265768251,0.8137138028209064,-0.2528682861694773
1133,45.32,0.6445185158467831,0.807405476388878,-0.27170705891083896
1134,45.36,0.6325862301900164,0.7997515808602126,-0.29099013319699507
