,Actual pupil,Predicted pupil,residue
152,3.811433,4.038140776368661,-0.22670777636866113
153,3.81302,4.037534268399638,-0.22451426839963773
154,3.7841208,4.036453400297261,-0.2523326002972608
155,3.7702005,4.035098776421226,-0.26489827642122554
156,3.7620108,4.0336203746328465,-0.2716095746328464
157,3.7585144,4.0334737859736185,-0.27495938597361835
158,3.759889,4.0340406808768146,-0.27415168087681474
159,3.7621384,4.034416977225343,-0.27227857722534266
160,3.7668827,4.03493458205072,-0.2680518820507203
161,3.790985,4.035353207331156,-0.24436820733115638
162,3.8063037,4.035675977382118,-0.22937227738211785
163,3.8119571,4.035966801304028,-0.22400970130402786
164,3.8210177,4.036411411210863,-0.21539371121086281
165,3.8289893,4.036729647758079,-0.20774034775807948
166,3.8360171,4.036490785557488,-0.20047368555748823
167,3.847908,4.035439846710299,-0.18753184671029954
168,3.8639362,4.0337868743770375,-0.1698506743770376
169,3.8845487,4.032035512237526,-0.1474868122375259
170,3.9075885,4.030191838600305,-0.12260333860030492
171,3.9290576,4.028277937579715,-0.09922033757971516
172,3.9507992,4.0263379857821695,-0.07553878578216944
173,3.9723456,4.02435997043252,-0.05201437043251955
174,3.991174,4.022596941969164,-0.031422941969164064
175,4.00782,4.020918282211323,-0.013098282211323031
176,4.024511,4.019191433773784,0.00531956622621621
177,4.03908,4.0177263316605485,0.021353668339451737
178,4.0514917,4.016781830464864,0.03470986953513577
179,4.061321,4.015735783282189,0.04558521671781168
180,4.068357,4.014885331070638,0.053471668929361726
181,4.074474,4.014750634660318,0.05972336533968203
182,4.0795603,4.0144810181381025,0.06507928186189726
183,4.0834603,4.0140033614195945,0.06945693858040514
184,4.0865073,4.013420035263181,0.07308726473681926
185,4.0903134,4.012636408379537,0.07767699162046338
186,4.091679,4.011586735867263,0.08009226413273662
187,4.0943146,4.01009262568991,0.08422197431008982
188,4.0963235,4.008107502787619,0.08821599721238016
189,4.0994196,4.006271999476009,0.09314760052399063
190,4.104772,4.004677096265352,0.10009490373464747
191,4.10987,4.003600625102777,0.10626937489722277
192,4.116382,4.002276575365883,0.11410542463411666
193,4.1198316,3.99979678431695,0.12003481568305041
194,4.119857,3.9964826983851243,0.12337430161487539
195,4.1167,3.99230924429509,0.12439075570490976
196,4.106735,3.9878333156778787,0.11890168432212089
197,4.0934997,3.983323888229661,0.11017581177033886
198,4.089166,3.978847182097307,0.1103188179026926
199,4.0771995,3.9747324687968533,0.1024670312031466
200,4.0584545,3.971847522402355,0.0866069775976448
201,4.0343575,3.9693988028482368,0.06495869715176283
202,4.0063367,3.966408755330518,0.03992794466948224
203,3.975818,3.9635317157206367,0.01228628427936318
204,3.9442294,3.960834193399214,-0.016604793399213946
205,3.9129968,3.958241426289282,-0.04524462628928205
206,3.883549,3.9557271542908268,-0.07217815429082686
207,3.8573112,3.953376217040484,-0.09606501704048398
208,3.8357122,3.9511586921538258,-0.11544649215382563
209,3.8201778,3.94922133784157,-0.12904353784156974
210,3.8121357,3.947568911227902,-0.1354332112279022
211,3.8196716,3.946082988053213,-0.12641138805321317
212,3.82547,3.9447356715659105,-0.11926567156591039
213,3.8251877,3.9435283927174223,-0.11834069271742242
214,3.8172183,3.942779761342237,-0.1255614613422371
215,3.8026156,3.9424760829203542,-0.13986048292035402
216,3.7801895,3.9424085270432627,-0.16221902704326263
217,3.7459586,3.942412751308435,-0.19645415130843524
218,3.7162704,3.9424588547609516,-0.22618845476095162
219,3.6946695,3.9427167744402993,-0.2480472744402995
220,3.6700222,3.9431373635697313,-0.2731151635697313
221,3.6464908,3.943689854164413,-0.29719905416441295
222,3.622684,3.9443330973269544,-0.32164909732695435
223,3.605011,3.945017712209534,-0.3400067122095338
224,3.585932,3.945696366373445,-0.35976436637344467
225,3.571264,3.9463770896281454,-0.37511308962814516
226,3.555205,3.947119953880704,-0.3919149538807041
227,3.5513,3.948007807353787,-0.3967078073537871
228,3.5469513,3.949206411422974,-0.4022551114229742
229,3.5462265,3.9514882747908455,-0.4052617747908456
230,3.5508325,3.9547453214465955,-0.4039128214465957
231,3.5553415,3.9581920286773067,-0.40285052867730675
232,3.564937,3.961874155786921,-0.396937155786921
233,3.5765152,3.965667261914296,-0.3891520619142961
234,3.587872,3.9690752418673263,-0.38120324186732635
235,3.6083004,3.97196579591951,-0.36366539591950975
236,3.6302567,3.9745811352977416,-0.3443244352977417
237,3.6582248,3.9768714946209154,-0.3186466946209152
238,3.6839676,3.9788920722123122,-0.2949244722123123
239,3.7113461,3.9811648752493825,-0.26981877524938236
240,3.739635,3.9832871253699045,-0.24365212536990466
241,3.7719574,3.985368224066248,-0.21341082406624823
242,3.7997708,3.987658650685917,-0.18788785068591674
243,3.824754,3.9901719151688217,-0.16541791516882176
244,3.846503,3.992693984743215,-0.14619098474321524
245,3.8570502,3.9951304579256846,-0.13808025792568435
246,3.8678067,3.9975690303027047,-0.12976233030270468
247,3.8707614,4.000021146142408,-0.12925974614240765
248,3.8823688,4.002430718226512,-0.12006191822651235
249,3.8924582,4.00469527592084,-0.11223707592083976
250,3.89225,4.006861255139986,-0.11461125513998605
251,3.8901138,4.009009771263023,-0.11889597126302309
252,3.8894827,4.011228606273031,-0.12174590627303106
253,3.8852081,4.013534518749905,-0.12832641874990536
254,3.879521,4.016008750787902,-0.13648775078790232
255,3.8626535,4.0186055317337885,-0.15595203173378858
256,3.8442438,4.020832227936332,-0.17658842793633234
257,3.8193305,4.022333766734762,-0.20300326673476166
258,3.79781,4.0236545449404595,-0.22584454494045936
259,3.7879932,4.02513849722517,-0.23714529722516975
260,3.7882276,4.026737948974041,-0.23851034897404144
261,3.794824,4.028412462085241,-0.23358846208524042
262,3.8087583,4.030196365917717,-0.22143806591771664
263,3.8289783,4.032045579310068,-0.2030672793100674
264,3.852018,4.03392062862388,-0.18190262862388007
265,3.876758,4.035790627987929,-0.1590326279879286
266,3.8998392,4.037851956052403,-0.13801275605240315
267,3.9177716,4.039970890510887,-0.12219929051088663
268,3.9327414,4.041922142933885,-0.10918074293388491
269,3.9438107,4.043852356505314,-0.1000416565053146
270,3.953478,4.045725635940183,-0.09224763594018315
271,3.959162,4.047460212655641,-0.08829821265564064
272,3.9623501,4.049042933634187,-0.08669283363418678
273,3.9639914,4.050475964003883,-0.0864845640038836
274,3.9682095,4.051806216590627,-0.08359671659062728
275,3.9713767,4.053172871977141,-0.08179617197714117
276,3.9752884,4.054520423478328,-0.07923202347832792
277,3.9823227,4.055767500536468,-0.07344480053646762
278,3.9931324,4.056970594474555,-0.06383819447455474
279,4.004752,4.0580064236408635,-0.053254423640863635
280,4.0188937,4.058828119863782,-0.039934419863782544
281,4.030741,4.05954405641327,-0.02880305641327041
282,4.0555224,4.060072078616229,-0.004549678616228903
283,4.0698023,4.060303063549723,0.00949923645027706
284,4.0841904,4.06013036699586,0.02406003300413939
285,4.0931234,4.059606617882384,0.03351678211761566
286,4.0985413,4.059217444911158,0.03932385508884195
287,4.1002655,4.0598580279775875,0.04040747202241235
288,4.097446,4.061010071991146,0.03643592800885376
289,4.0936685,4.062021400606934,0.03164709939306576
290,4.09192,4.063261172012398,0.02865882798760211
291,4.0905924,4.06454274654345,0.026049653456550637
292,4.0900617,4.065861093404014,0.02420060659598544
293,4.0865283,4.0673490589641,0.019179241035899963
294,4.073932,4.06887433544429,0.005057664555709884
295,4.054685,4.070302371094554,-0.015617371094553967
296,4.0354614,4.0709513790621665,-0.035489979062166555
297,4.016412,4.07028900751436,-0.053877007514359754
298,3.9948413,4.069013681010325,-0.07417238101032453
299,3.9776306,4.067835846071526,-0.09020524607152636
300,3.953902,4.066766637427231,-0.11286463742723152
301,3.920869,4.065748682097225,-0.1448796820972249
302,3.8922849,4.064737999045345,-0.17245309904534523
303,3.863375,4.063753691760513,-0.20037869176051304
304,3.8463385,4.062794923714001,-0.21645642371400076
305,3.836744,4.06186495896467,-0.22512095896467033
306,3.8333478,4.060906093393456,-0.2275582933934559
307,3.8394263,4.060026257720784,-0.220599957720784
308,3.8454154,4.059509492892045,-0.21409409289204495
309,3.851303,4.059261276244021,-0.20795827624402063
310,3.8547952,4.059261535180155,-0.20446633518015478
311,3.858102,4.059447489633345,-0.20134548963334487
312,3.8610742,4.059586080308298,-0.19851188030829814
313,3.866345,4.05960042660017,-0.19325542660017003
314,3.8778186,4.059424244959084,-0.18160564495908416
315,3.8858578,4.0590279240422,-0.17317012404219945
316,3.8917193,4.058392241286684,-0.1666729412866843
317,3.8968256,4.057510554309964,-0.16068495430996377
318,3.9011981,4.056394209012486,-0.15519610901248582
319,3.9024777,4.055057857484309,-0.1525801574843091
320,3.9002566,4.053668294180665,-0.1534116941806647
321,3.8971612,4.051982450341511,-0.15482125034151117
322,3.8920267,4.0498019557609615,-0.1577752557609613
323,3.890443,4.047334310116933,-0.15689131011693336
324,3.8883252,4.04446815227708,-0.15614295227707986
325,3.888649,4.041267433738634,-0.15261843373863382
326,3.8902926,4.038013846168438,-0.14772124616843785
327,3.8897247,4.034436635375232,-0.14471193537523197
328,3.8895853,4.030471554512811,-0.14088625451281134
329,3.8878653,4.026088974389171,-0.13822367438917071
330,3.8894336,4.021970542194512,-0.13253694219451218
331,3.8937519,4.019606425093567,-0.1258545250935672
332,3.8923972,4.018029996139767,-0.1256327961397674
333,3.888554,4.015930453336046,-0.12737645333604597
334,3.8781826,4.013544117799748,-0.13536151779974803
335,3.8520584,4.011339756061528,-0.15928135606152738
336,3.8154275,4.0095610188249395,-0.19413351882493934
337,3.767359,4.007596269752567,-0.24023726975256743
338,3.7164066,4.005528046991083,-0.289121446991083
339,3.67018,4.003141939890453,-0.33296193989045264
340,3.629645,3.999749009763728,-0.37010400976372804
341,3.5960486,3.99474893552043,-0.39870033552042994
342,3.5612106,3.98886186992203,-0.42765126992203006
343,3.5261066,3.9830376482064005,-0.4569310482064006
344,3.49566,3.9777118734488317,-0.4820518734488317
345,3.4655533,3.9726551242428525,-0.5071018242428527
346,3.4328668,3.9678242017958922,-0.534957401795892
347,3.3969204,3.9637116749397516,-0.5667912749397517
348,3.356029,3.9601944088357497,-0.6041654088357498
349,3.31764,3.9568172916546893,-0.6391772916546894
350,3.286182,3.953430992220657,-0.667248992220657
351,3.2623966,3.9499089639880256,-0.6875123639880254
352,3.2438626,3.9464814960141297,-0.7026188960141297
353,3.235722,3.9434070917392963,-0.7076850917392963
354,3.2353647,3.940498889004639,-0.7051341890046392
355,3.2402725,3.937807336072531,-0.6975348360725309
356,3.2471912,3.9353138043680915,-0.6881226043680915
357,3.249744,3.933011468364605,-0.6832674683646047
358,3.237587,3.9308827710118206,-0.6932957710118206
359,3.2229788,3.929037893632303,-0.706059093632303
360,3.213634,3.9274790793709395,-0.7138450793709397
361,3.2119107,3.9260802001842876,-0.7141695001842878
362,3.2132034,3.924898786476555,-0.7116953864765554
363,3.225671,3.9239833535689828,-0.6983123535689826
364,3.241464,3.9239228055526985,-0.6824588055526983
365,3.2547379,3.924743250896383,-0.6700053508963832
366,3.2518582,3.9255508779676997,-0.6736926779676997
367,3.2523541,3.9264154676993246,-0.6740613676993248
368,3.2252154,3.927496934878267,-0.7022815348782667
369,3.2235477,3.9289784484860895,-0.7054307484860893
370,3.206314,3.9303677417725034,-0.7240537417725035
371,3.187282,3.9315900990569905,-0.7443080990569904
372,3.1645236,3.932913335064234,-0.7683897350642339
373,3.134928,3.934300639474942,-0.7993726394749419
374,3.109058,3.9368520689302717,-0.8277940689302716
375,3.0812879,3.939411390626523,-0.8581234906265229
376,3.0546744,3.9411526886771013,-0.8864782886771012
377,3.0389545,3.942912393630733,-0.9039578936307331
378,3.0240207,3.9447046896445532,-0.9206839896445533
379,3.0066516,3.9474208541693403,-0.9407692541693402
380,3.0078223,3.950941061740154,-0.9431187617401542
381,3.0116425,3.954257378470003,-0.9426148784700032
382,3.0175443,3.9575606328564095,-0.9400163328564095
383,3.0225546,3.9609834423377572,-0.9384288423377574
384,3.0226295,3.964972225415759,-0.942342725415759
385,3.0249827,3.9701705581834377,-0.9451878581834379
386,3.0296507,3.976132329826083,-0.9464816298260832
387,3.0365932,3.982300308218238,-0.945707108218238
388,3.04577,3.9888952701896927,-0.9431252701896926
389,3.0571406,3.9957738213978975,-0.9386332213978976
390,3.0706642,4.002810218359289,-0.9321460183592891
391,3.086301,4.00988745582165,-0.9235864558216496
392,3.1040103,4.016633116708935,-0.9126228167089345
393,3.1237514,4.02322381571005,-0.8994724157100502
394,3.145485,4.029586646827424,-0.8841016468274239
395,3.1691692,4.035848984035958,-0.8666797840359584
396,3.1947646,4.040726114953329,-0.8459615149533288
397,3.2284033,4.042860392052879,-0.8144570920528791
398,3.267601,4.043353378182529,-0.7757523781825286
399,3.3080118,4.044185339204732,-0.7361735392047324
400,3.3440607,4.045020678301179,-0.7009599783011788
401,3.3724976,4.045615265582217,-0.6731176655822173
402,3.400709,4.046057870872722,-0.6453488708727217
403,3.4291055,4.046616985847223,-0.6175114858472228
404,3.4512591,4.047357825402354,-0.5960987254023542
405,3.4785626,4.047948771182079,-0.5693861711820789
406,3.4941068,4.048457416025275,-0.5543506160252747
407,3.5167956,4.048990625066814,-0.5321950250668142
408,3.5429752,4.0494141907693,-0.5064389907693005
