,0,1,2,3
133,0.266,383.0,338.0,6365.0
134,0.268,383.0,336.0,6354.0
135,0.27,385.0,335.0,6333.0
136,0.272,387.0,336.0,6312.0
137,0.274,390.0,338.0,6301.0
138,0.276,393.0,341.0,6300.0
139,0.278,397.0,345.0,6305.0
140,0.28,399.0,349.0,6313.0
141,0.282,400.0,352.0,6323.0
142,0.284,401.0,356.0,6327.0
143,0.286,401.0,358.0,6330.0
144,0.288,402.0,359.0,6328.0
145,0.29,402.0,359.0,6325.0
146,0.292,401.0,358.0,6321.0
147,0.294,401.0,358.0,6319.0
148,0.296,400.0,358.0,6317.0
149,0.298,400.0,358.0,6310.0
150,0.3,400.0,358.0,6302.0
151,0.302,399.0,358.0,6291.0
152,0.304,400.0,358.0,6284.0
153,0.306,399.0,358.0,6277.0
154,0.308,399.0,358.0,6268.0
155,0.31,400.0,360.0,6259.0
156,0.312,400.0,361.0,6245.0
157,0.314,401.0,363.0,6238.0
158,0.316,401.0,363.0,6233.0
159,0.318,401.0,364.0,6223.0
160,0.32,401.0,364.0,6213.0
161,0.322,401.0,365.0,6198.0
162,0.324,401.0,365.0,6185.0
163,0.326,402.0,365.0,6173.0
164,0.328,402.0,366.0,6157.0
165,0.33,403.0,367.0,6149.0
166,0.332,403.0,367.0,6134.0
167,0.334,404.0,368.0,6122.0
168,0.336,405.0,369.0,6105.0
169,0.338,405.0,369.0,6093.0
170,0.34,405.0,370.0,6076.0
171,0.342,405.0,371.0,6065.0
172,0.344,405.0,372.0,6049.0
173,0.346,405.0,372.0,6039.0
174,0.348,405.0,372.0,6022.0
175,0.35,405.0,373.0,6009.0
176,0.352,405.0,373.0,5995.0
177,0.354,405.0,374.0,5981.0
178,0.356,406.0,375.0,5962.0
179,0.358,406.0,376.0,5944.0
180,0.36,406.0,377.0,5928.0
181,0.362,406.0,377.0,5912.0
182,0.364,407.0,377.0,5903.0
183,0.366,407.0,377.0,5886.0
184,0.368,407.0,377.0,5867.0
185,0.37,407.0,377.0,5842.0
186,0.372,407.0,377.0,5823.0
187,0.374,407.0,377.0,5810.0
188,0.376,407.0,378.0,5802.0
189,0.378,407.0,378.0,5789.0
190,0.38,407.0,380.0,5775.0
191,0.382,407.0,381.0,5758.0
192,0.384,407.0,382.0,5743.0
193,0.386,407.0,382.0,5730.0
194,0.388,408.0,382.0,5714.0
195,0.39,408.0,382.0,5705.0
196,0.392,409.0,382.0,5685.0
197,0.394,409.0,382.0,5671.0
198,0.396,409.0,382.0,5649.0
199,0.398,409.0,383.0,5630.0
200,0.4,409.0,383.0,5613.0
201,0.402,409.0,384.0,5600.0
202,0.404,409.0,385.0,5585.0
203,0.406,409.0,386.0,5568.0
204,0.408,409.0,386.0,5548.0
205,0.41,409.0,386.0,5538.0
206,0.412,409.0,386.0,5524.0
207,0.414,410.0,386.0,5511.0
208,0.416,410.0,386.0,5488.0
209,0.418,410.0,386.0,5469.0
210,0.42,410.0,387.0,5451.0
211,0.422,410.0,386.0,5441.0
212,0.424,410.0,386.0,5425.0
213,0.426,411.0,386.0,5411.0
214,0.428,411.0,387.0,5395.0
215,0.43,411.0,387.0,5378.0
216,0.432,411.0,388.0,5363.0
217,0.434,411.0,388.0,5346.0
218,0.436,411.0,388.0,5330.0
219,0.438,411.0,388.0,5311.0
220,0.44,411.0,388.0,5296.0
221,0.442,412.0,388.0,5281.0
222,0.444,412.0,388.0,5270.0
223,0.446,412.0,388.0,5254.0
224,0.448,412.0,388.0,5240.0
225,0.45,413.0,389.0,5219.0
226,0.452,413.0,389.0,5208.0
227,0.454,413.0,389.0,5197.0
228,0.456,413.0,388.0,5186.0
229,0.458,413.0,388.0,5173.0
230,0.46,413.0,388.0,5161.0
231,0.462,413.0,388.0,5143.0
232,0.464,414.0,389.0,5128.0
233,0.466,414.0,390.0,5112.0
234,0.468,415.0,389.0,5100.0
235,0.47,415.0,389.0,5082.0
236,0.472,415.0,390.0,5066.0
237,0.474,415.0,390.0,5050.0
238,0.476,415.0,389.0,5037.0
